animeTitle	Mon-Soni!: Senritsu no Lucifer, Tada Hitotsu no Hajimari no Uta
animeType	ONA
animeNumEpisode	1
releaseDate	2017-05-03 00:00:00
endDate	
animeNumMembers	1372
animeScore	6.24
animeUsers	401
animeRank	7489
animePopularity	10381
animeDescription	"Golden Week Special episode of Monsuto Anime.

""Change the world with music? Foolish.""

Lucifer's world stops after her band disbands. Meaningless days pass, until she meets her cousin Satan and his bandmate Ibaraki Douji. They ask her to join their indie band, the ""Wicked Pistols."" Satan talks about his dream of going major after winning the MONSTERS ROCK competition, only for Lucifer to reject him outright. However, Lucifer's heart begins to thaw after a certain event...

(Source: Official YouTube Channel)"
animeRelated	"['Monster Strike Anime', ""Mon-Soni! D'Artagnan no Idol Sengen"", 'Haitoku Pistols no Kinkyuu Kaigi?']"
animeCharacters	"['Lucifer', 'Ibaraki Douji', 'Satan', ""D'Artagnyan"", 'MC', 'Master', 'Debt Collector']"
animeVoices	['Hikasa, Youko', 'Nishi, Asuka', 'Morikubo, Shoutarou', 'Hondo, Kaede', 'Furukawa, Makoto', 'Takakuwa, Mitsuru', 'Shingaki, Tarusuke']
animeStaff	[['Sakamoto, Kazuya', 'Director'], ['Hikasa, Youko', 'Theme Song Performance'], ['MONACA', 'Music'], ['Katou, Youichi', 'Series Composition']]
