animeTitle	Fuku-chan no Zousan Butai
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14516
animeDescription	The second film of the Fuku-chan triology. Based on a popular newspaper comic strip at the time, Fuku-chan was re-invented for propaganda use. In this one Fuku-chan tries to rally up the fighting spirit of the troops.
animeRelated	['Fuku-chan no Sensuikan', 'Fuku-chan no Kishuu', 'Fuku-chan']
animeCharacters	['Fuchida, Fukuo']
animeVoices	[]
animeStaff	[['Masaoka, Kenzou', 'Director of Photography']]
