animeTitle	b'Himitsukessha Taka no Tsume'
animeType	b'TV'
animeNumEpisode	11
releaseDate	
endDate	
animeNumMembers	
animeScore	6.11
animeUsers	241
animeRank	
animePopularity	
animeDescription	b'Eagle Talon is a secret society based in Kojimachi, Tokyo. With plans for world domination, their attempts are continually foiled by Deluxe Fighter, the superhero who always manages to save the day. This comedy of their frivolous lives is definitely not to be missed!'
animeRelated	[b'Himitsukessha Taka no Tsume The Movie 1: Soutou wa Nido Shinu', b'Kana Kana Kazoku x Himitsukessha Taka no Tsume Collaboration Film', b'Himitsukessha Taka no Tsume: Golden Spell', b'Taka no Tsume 8: Yoshida-kun no Batten File', b'Himitsukessha Taka no Tsume Specials', b'Himitsukessha Taka no Tsume: Christmas Daisakusen']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
