animeTitle	Kaitou Joker 3rd Season
animeType	TV
animeNumEpisode	13
releaseDate	2016-04-04 00:00:00
endDate	2016-06-27 00:00:00
animeNumMembers	4394
animeScore	7.17
animeUsers	1782
animeRank	3036
animePopularity	7406
animeDescription	"Third season in the Kaitou Joker anime series.

The thief Mysterious Joker doesn't just steal things. An audacious and elusive miracle-maker, he travels the world searching for treasure with his partner and cook Hachi. As they circle the globe, they must avoid traps set by the police and compete in various competitions to reach their final goal, the Timeslip Treasure.

(Source: ANN)"
animeRelated	['Kaitou Joker', 'Kaitou Joker 2nd Season', 'Kaitou Joker 4th Season']
animeCharacters	['Joker', 'Spade', 'Diamond, Queen', 'Hachi', 'Joker, Shadow', 'Akai, Tsubasa', 'President D', 'Dark Eye', 'Silver Heart', 'Rose']
animeVoices	['Murase, Ayumu', 'Shimono, Hiro', 'Sawashiro, Miyuki', 'Kobayashi, Yumiko', 'Saitou, Souma', 'Matsuoka, Yoshitsugu', 'Kishio, Daisuke', 'Ono, Kenichi', 'Shimada, Bin']
animeStaff	[['Teramoto, Yukiyo', 'Director'], ['Noshitani, Mitsutaka', 'Episode Director'], ['Satou, Dai', 'Script, Series Composition'], ['Ootsuka, Takashi', 'Storyboard']]
