animeTitle	b'Kirameki\xe2\x98\x86Project'
animeType	b'OVA'
animeNumEpisode	5
releaseDate	
endDate	
animeNumMembers	
animeScore	6.18
animeUsers	570
animeRank	
animePopularity	
animeDescription	b'In a world where giant rude robots are common and used to fight wars appears a giant Handcrafted robot that defeats the major armies of the world. Meanwhile in a kingdom where three sisters reign in peace and harmony there is a secret that they keep from the rest of the world until they must use a Doll-looking robot to protect their nation, even when her creator refuses to put her friend in danger.\n\n(Source: ANN)'
animeRelated	[]
animeCharacters	[b'Rincle', b'Jin Ohya', b'Nene', b'Krone', b'Kana']
animeVoices	[b'\nKaneda, Tomoko\nJapanese\n', b'\nIchijo, Kazuya\nJapanese\n', b'\nToyoguchi, Megumi\nJapanese\n', b'\nOhara, Sayaka\nJapanese\n', b'\nKadowaki, Mai\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNishijima, Katsuhiko\n\nDirector\n\n', b'\nKameyama, Toshiki\n\nSound Director\n\n', b'\nYamaguchi, Hiroshi\n\nScript\n\n', b'\nWatanabe, Cheru\n\nTheme Song Arrangement\n\n']
