animeTitle	Teekyuu 7
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.65
animeUsers	7545
animeRank	
animePopularity	4615
animeDescription	Seventh season of the Teekyuu series.
animeRelated	['Teekyuu', 'Teekyuu 6', 'Teekyuu 7 Specials', 'Teekyuu 8']
animeCharacters	['Bandou, Marimo', 'Shinjou, Kanae', 'Takamiya, Nasuno', 'Oshimoto, Yuri', 'Tanaka, Kinako', 'Nishiaraidaishi, Nishi', 'Kondou, Udonko', 'Kondou, Annenkov', 'Oshimoto, Youta', 'Saleswoman']
animeVoices	['Hanazawa, Kana', 'Mimori, Suzuko', 'Narumi, Kyoko', 'Watanabe, Yui', 'Nakashima, Yuki', 'Tanijiri, Maria', 'Ishihara, Kaori', 'Kitamura, Eri', 'Oosaka, Ryouta']
animeStaff	[['Itagaki, Shin', 'Director, Sound Director, Storyboard, Key Animation, Series Composition, Character Design'], ['Hanazawa, Kana', 'Theme Song Performance'], ['Mimori, Suzuko', 'Theme Song Performance'], ['Watanabe, Yui', 'Theme Song Performance']]
