animeTitle	Pink no Curtain
animeType	OVA
animeNumEpisode	1
releaseDate	1987-11-25 00:00:00
endDate	
animeNumMembers	525
animeScore	5.0
animeUsers	155
animeRank	
animePopularity	12842
animeDescription	"Based on the same-name erotic slice-of-life manga by George Akiyama, serialized in Weekly Manga Goraku.

Virgin boy Okuyama is a stocker at the supermarket who has no luck with women. His life is thrown upside down when his sister Noriko unexpectedly moves into his house. Okuyama is overcome with lustful thoughts for her, but she regards him simply as a brother.

(Source: AnimeVice)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
