animeTitle	3x3 Eyes
animeType	OVA
animeNumEpisode	4
releaseDate	1991-07-25 00:00:00
endDate	1992-03-19 00:00:00
animeNumMembers	
animeScore	6.74
animeUsers	10868
animeRank	
animePopularity	3643
animeDescription	3X3 Eyes is the story of a young man named Yakumo Fuuji, who through a strange series of events becomes the immortal slave of the last of a race of 3 Eyed demons. The demon absorbs his soul to save his life, making him immortal in the process. Now, he begins a journey with the female demon in an attempt to find a way of becoming human. Of course, there are many complications along the way, not the least of which being that the demon is a female with a split personality, one achingly cute and the other being no-nonsense destructive power, and the romances that develop between.
animeRelated	['3x3 Eyes', '3x3 Eyes: Seima Densetsu']
animeCharacters	['Pai', 'Fujii, Yakumo', 'IV, Parvati', 'Benares', 'Long, Meixing', 'Li, Ling-ling', 'Long, Steve', 'Tatsukawa, Tatsuya', 'Youma', 'Asai, Natsuko']
animeVoices	['Hayashibara, Megumi', 'Tsujitani, Kouji', 'Ootsuka, Akio', 'Tanaka, Mayumi', 'Orikasa, Ai', 'Ginga, Banjou', 'Sato, Yuki', 'Shioya, Kouzou', 'Mizutani, Yuuko']
animeStaff	[['Macek, Carl', 'Producer, ADR Director'], ['Nishio, Daisuke', 'Director'], ['Tachiki, Fumihiko', 'Theme Song Performance'], ['Hosoda, Mamoru', 'In-Between Animation']]
