animeTitle	b'Kure-nai'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.36
animeUsers	34537
animeRank	
animePopularity	
animeDescription	"b""Shinkurou Kurenai is a 16-year-old student by day and a dispute mediator by night. Though kind-hearted and patient, due to his tragic past, he has trained for years to live on. Now, despite his unimposing appearance, he is a strong martial artist, who also possesses a strange power.\n\nWhile taking various jobs for his employer, Benika Juuzawa, one assignment leads Shinkurou to live with Murasaki Kuhouin as her bodyguard. Murasaki is the seven-year-old daughter of a plutocratic family, who escaped her home under peculiar circumstances with Benika's help. Commoner life, in her eyes, seems bizarre. However, by interacting with her neighbors, she grows more accustomed to the daily routine, and rids herself of her snobbish behavior, gradually growing attached to Shinkurou.\n\nThough many details of the job remain unclear, Shinkurou still strives to protect the young lady. But to make things more complicated, he also lacks a crucial fact\xe2\x80\x94what is the real threat against Murasaki?\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Kure-nai', b'Kure-nai OVA']
animeCharacters	[b'Kuhouin, Murasaki', b'Kurenai, Shinkurou', b'Murakami, Ginko', b'Houzuki, Yuuno', b'Inuzuka, Yayoi', b'Juuzawa, Benika', b'Yamie', b'Mutou, Tamaki', b'Kuhouin, Ryuuji', b'Cheng Shin, Lin']
animeVoices	[b'\nYuuki, Aoi\nJapanese\n', b'\nSawashiro, Miyuki\nJapanese\n', b'\nMasu, Nozomi\nJapanese\n', b'\nShintani, Ryouko\nJapanese\n', b'\nOokubo, Aiko\nJapanese\n', b'\nIshige, Sawa\nJapanese\n', b'\nKimura, Haruka\nJapanese\n', b'\nSanada, Asami\nJapanese\n', b'\nOkamoto, Nobuhiko\nJapanese\n', b'\nUeda, Kana\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMatsuo, Kou\n\nDirector, Sound Director, Episode Director, Script, Storyboard, Series Composition\n\n', b'\nYamazaki, Mitsue\n\nEpisode Director, Storyboard, Assistant Director\n\n', b'\nKosaka, Harume\n\nEpisode Director\n\n', b'\nNobuta, Yuu\n\nEpisode Director\n\n']
