animeTitle	Jam
animeType	Music
animeNumEpisode	1
releaseDate	2009-01-01 00:00:00
endDate	
animeNumMembers	812
animeScore	4.73
animeUsers	452
animeRank	11714
animePopularity	11688
animeDescription	"This film is based on a very simple idea: the increasingly varied the sounds, the greater is the number of creatures... My intention in this film was to fill the screen with chaotic movements.

(Source: Mirai Mizue)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
