animeTitle	Hiragana Danshi
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	9880
animeDescription	"Hiragana Danshi are in the mission to try to find their comrades in the world where Japanese languages have been disappeared.

This is a movie adaptation of the Hiragana Danshi multimedia project which is one of the projects that started from a monthly variety show on Nihon TV titled ""Ichara,"" which gets ideas for 2D characters from the audience."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
