animeTitle	Princess Princess Specials
animeType	Special
animeNumEpisode	12
releaseDate	2006-07-19 00:00:00
endDate	2006-12-20 00:00:00
animeNumMembers	1947
animeScore	6.47
animeUsers	464
animeRank	6267
animePopularity	9532
animeDescription	Short omake episodes included on the Blu-ray/DVD volumes of Princess Princess.
animeRelated	['Princess Princess']
animeCharacters	['Shihoudani, Yuujirou', 'Kouno, Tooru', 'Yutaka, Mikoto', 'Sakamoto, Akira']
animeVoices	[]
animeStaff	[['Tsuda, Mikiyo', 'Original Creator']]
