animeTitle	Jinzou Ningen Kikaider The Animation
animeType	TV
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.98
animeUsers	3870
animeRank	
animePopularity	5613
animeDescription	"The genius robotics professor, Dr. Komyoji has created Jiro (who has the ability to transform into Kikaider) – a humanoid robot tasked with the protection of Dr. Komyoji’s son, Masaru, and daughter, Mitsuko. Gifted with a conscience circuit, which has the power to simulate real emotions that helps to distinguish between “right and wrong”, Jiro must protect Mitsuko and Masaru from the evil Dr. Gil who wants Jiro to join his army and aid in his goal of world domination.

(Source: ANN)"
animeRelated	['Kikaider 02', 'Jinzou Ningen Kikaida', 'Kikaider 01 The Animation', 'Guitar wo Motta Shounen: Kikaider vs. Inazuman']
animeCharacters	['Jiro', 'Saburo/Hakaider', 'Komyoji, Mitsuko', 'Komyoji, Nobuhiko ', 'Herbert, Gill', 'Bat, Golden', 'Komyoji, Ichiro ']
animeVoices	['Seki, Tomokazu', 'Kosugi, Juurouta', 'Horie, Yui', 'Ogawa, Shinji', 'Wakamoto, Norio', 'Ito, Yusuke']
animeStaff	[['Iwakami, Atsuhiro', 'Producer'], ['Maseba, Yutaka', 'Producer'], ['Okamura, Tensai', 'Director, Episode Director, Storyboard'], ['Andou, Masahiro', 'Episode Director, Storyboard']]
