animeTitle	Ousama Ranking
animeType	TV
animeNumEpisode	23
releaseDate	
endDate	
animeNumMembers	
animeScore	8.73
animeUsers	11276
animeRank	
animePopularity	2163
animeDescription	"The web manga centers around Bojji, a deaf, powerless prince who cannot even wield a children's sword. As the firstborn son, he strives hard and dreams of becoming the world's greatest king. However, people mutter about him behind his back as ""a good-for-nothing prince"" and ""no way he can be king.""

Bojji is able to make his first ever friend, ""Kage"" (shadow)—a literal shadow on the ground who somehow understands Bojji well. (Kage is a survivor of the Kage assassin clan that was all but wiped out. No longer a killer, Kage now makes ends meet by stealing.) The story follows Bojji's coming-of-age as he meets various people in his life, starting with his fateful encounter with Kage.

(Source: MAL News)"
animeRelated	['Ousama Ranking']
animeCharacters	['Bojji', 'Kage', 'Apeas', 'Hiling', 'Hokuro', 'BeBin', 'Bosse', 'Magic Mirror', 'Death-Par', 'Death-Har']
animeVoices	['Hinata, Minami', 'Murase, Ayumu', 'Yasumoto, Hiroki', 'Satou, Rina', 'Yamashita, Daiki', 'Ueda, Youji', 'Miyake, Kenta', 'Sakamoto, Maaya', 'Sakurai, Takahiro', 'Shimoyama, Yoshimitsu']
animeStaff	[['Okada, Maiko', 'Producer'], ['Hatta, Yousuke', 'Director'], ['Fuchigami, Makoto', 'Director'], ['Ebina, Yasunori', 'Sound Director']]
