animeTitle	Bakuten Shoot Beyblade the Movie: Gekitou!! Takao vs. Daichi
animeType	Movie
animeNumEpisode	1
releaseDate	2002-08-17 00:00:00
endDate	
animeNumMembers	
animeScore	6.58
animeUsers	5340
animeRank	
animePopularity	5415
animeDescription	"The Bladebreakers are on a well deserved vacation. But, a hyperactive kid named Daichi continues to pursue Tyson for a rematch after his defeat in the Beyblade World Championships. The Bladebreakers' vacation eventually takes a turn for the worst once they encounter mysterious Beybladers who claim to be the Dark Spirits sealed inside a strange temple. With Daichi under their control, the Shadow Bladers seek to destroy the world with their Dark BitBeasts. Together, Tyson, Max, Ray, and Kai must save not only Daichi... but the world as well...

(Source: ANN)"
animeRelated	['Bakuten Shoot Beyblade 2002']
animeCharacters	['Kon, Rei', 'Kinomiya, Takao', 'Mizuhara, Max', 'Sumeragi, Daichi', 'Hiwatari, Kai', 'Tachibana, Hiromi', 'Kyouju', 'Mizuhara, Judy', 'Keiko-sensei', 'Kinomiya, Ryuunosuke']
animeVoices	['Hisakawa, Aya', 'Kumai, Motoko', 'Orikasa, Ai', 'Nagasawa, Nao', 'Takano, Urara', 'Kikuchi, Shiho', 'Kuwashima, Houko']
animeStaff	[['Takeuchi, Yoshio', 'Director'], ['Suzuki, Takuo', 'Director, Storyboard'], ['Yasumi, Tetsuo', 'Director'], ['Hayase, Hiroyuki', 'Sound Director']]
