animeTitle	Kodai Ouja Kyouryuu King: Yokuryuu Densetsu
animeType	TV
animeNumEpisode	30
releaseDate	2008-02-03 00:00:00
endDate	2008-08-31 00:00:00
animeNumMembers	7525
animeScore	6.36
animeUsers	4235
animeRank	6877
animePopularity	5963
animeDescription	Sequel series to Kodai Oja Kyoryu King. The Alpha Gang and the Ancients return. While the parents are talking, they are kidnapped by Gunenco, a member of the Zanjark Space Aliens. This causes the Alpha Gang and D-Team to join forces against the Zanjark Space Aliens in their plot to obtain the Cosmos Stones. Seth later returns as an ally to the Zanjark space aliens. Jark, the leader of the Zanjark, provides the dinosaur cards
animeRelated	['Kodai Ouja Kyouryuu King']
animeCharacters	['Owen, Rex', 'Tatsuno, Malm', 'Kodai, Ryuuta', 'Drake, Dr. Reese', 'Nopis', 'Sonoida, Dr.', 'Kodai, Kenryu', 'Ed', 'Noratty', 'Owen, Dr']
animeVoices	['Mizuguchi, Matsuri', 'Kobashi, Tomoko', 'Matsumoto, Megumi', 'Hirakawa, Daisuke', 'Gotou, Tetsuo', 'Uchida, Naoya', 'Endou, Junichi', 'Horiuchi, Kenyuu']
animeStaff	[['Yatabe, Katsuyoshi', 'Director'], ['Hirano, Yasushi', 'Script, Series Composition'], ['Miura, Kouji', 'Script'], ['Kamitsubo, Ryouki', 'Storyboard']]
