animeTitle	Bubuki Buranki: Hoshi no Kyojin
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.8
animeUsers	10120
animeRank	
animePopularity	3653
animeDescription	Sequel of Bubuki Buranki.
animeRelated	['Bubuki Buranki']
animeCharacters	['Taneomi, Shizuru', 'Ougi, Kinoa', 'Asabuki, Kogane', 'Kazuki, Kaoruko', 'Kazuki, Azuma', 'Nono, Hiiragi', 'Banryuu, Reoko', 'Matobai, Shuusaku', 'Lakshmi', 'Arsenyevich Balakirev, Maxim']
animeVoices	['Komatsu, Mikako', 'Ishigami, Shizuka', 'Ozawa, Ari', 'Kanemoto, Hisako', 'Kobayashi, Yuusuke', 'Saitou, Souma', 'Han, Megumi', 'Tsuda, Kenjirou', 'Sonozaki, Mie', 'Kawanishi, Kengo']
animeStaff	[['Komatsuda, Daizen', 'Director, Episode Director, Storyboard'], ['Ishii, Jirou', 'Script, Series Composition'], ['Komatsu, Mikako', 'Theme Song Performance'], ['Han, Megumi', 'Theme Song Performance']]
