animeTitle	Gregory Horror Show
animeType	TV
animeNumEpisode	25
releaseDate	1999-10-01 00:00:00
endDate	2001-06-01 00:00:00
animeNumMembers	
animeScore	6.56
animeUsers	1294
animeRank	
animePopularity	8003
animeDescription	"The first series is a set of 25 stories about a male businessman arriving at the hotel after taking a train home from work. He encounters the mysterious owner of the hotel, an old mouse known as Gregory, who suggests that he stay a while. Soon, the man becomes drawn into a bizarre series of events taking place within Gregory House as he tries desperately to escape from this bizarre purgatory.

(Source: Wikipedia)"
animeRelated	['Gregory Horror Show: Another World', 'Gregory Horror Show: The Second Guest', 'Gregory Horror Show: The Bloody Karte', 'The Gregory Gallery Tour Special']
animeCharacters	"['Judgement Boy', 'Gregory', 'Neko Zombie', ""chef, Hell's""]"
animeVoices	['Chafurin']
animeStaff	[['Iwata, Naomi', 'Planning, Original Creator']]
