animeTitle	b'Kaseki Dorobou to Kyouryuuseki'
animeType	b'ONA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""The dinosaur fantasy revolves around a 12-year-old named Yuta and Gobi \xe2\x80\x94 a moving fossil. The two embark on a journey with Yuta's friends to chase a fossil thief and find Gobi's stolen fossil mother. \n\n(Source: ANN)\n"""
animeRelated	[b'Monster ni Natta Domerica', b'Kanai', b'Interior']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
