animeTitle	b'Jikan no Shihaisha'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.32
animeUsers	17211
animeRank	
animePopularity	
animeDescription	"b'\xe2\x80\x8bLike many in her class, Koyuki Honda looks forward to her graduation ceremony. However, while her peers have family to attend, Koyuki has no one, as her only family\xe2\x80\x94her brother\xe2\x80\x94died years ago. While visiting his grave, she meets two brothers named Kiri and Victor Putin chasing a strange creature. They try to assure her that they are just actors shooting a movie; Victor, however, piques Koyuki\'s curiosity about the old legend of the clock tower at the cemetery: if you make a wish under the clock tower at midnight during a full moon, time will turn back, allowing someone to reclaim what they have lost.\n\nDeciding to make her wish, Koyuki learns the horrifying truth: the legend is a ruse for time demons called ""Horologues"" to steal humans\' time. As they are drawn to regrets, Victor uses Koyuki as bait to lure a demon there. Kiri and Victor explain that they are Chronos Rulers, warriors who fight against the Horologues using the ""Oath of Time""\xe2\x80\x94an item allowing them to speed up or slow down time.\n\nWith the demon destroyed and the crisis averted, Koyuki is able to go on her way free from regrets. However, she is not the only human with sorrows. The two boys must continue to hunt down Horologues in order to keep humanity safe.\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Chronos Ruler']
animeCharacters	[b'Putin, Victor', b'Putin, Wu', b'Putin, Mina', b'Aisrehdar', b'Aiks', b'Blaze', b'Koyuki', b'Putin, Yf', b'Snake', b'Putin, Alexander']
animeVoices	[b'\nFukuyama, Jun\nJapanese\n', b'\nIshikawa, Kaito\nJapanese\n', b'\nKugimiya, Rie\nJapanese\n', b'\nItou, Shizuka\nJapanese\n', b'\nNakata, Jouji\nJapanese\n', b'\nAkabane, Kenji\nJapanese\n', b'\nAnzai, Chika\nJapanese\n', b'\nOhara, Sayaka\nJapanese\n', b'\nSugita, Tomokazu\nJapanese\n', b'\nInoue, Kazuhiko\nJapanese\n']
animeStaff	"[b'\n\n\n\n\n\n', b'\nMatsune, Masato\n\nDirector\n\n', b'\nGou, Fumiyuki\n\nSound Director\n\n', b'\nYanagi, Nagi\n\nTheme Song Performance\n\n', b""\nFo'xTails\n\nTheme Song Performance\n\n""]"
