animeTitle	Himote House
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	5.69
animeUsers	3100
animeRank	
animePopularity	4478
animeDescription	"The comedy anime centers on five girls and one cat all living as housemates in Nakano, Tokyo: the three Himote sisters (Tokiyo, Kinami, and Kokoro) whose family manages the ""Himote House,"" Kokoro's classmates Tae and Minamo, and the cat Enishi. The girls live their daily lives trying to figure out ways to be popular, and they (and the cat) all possess a mysterious secret power...

(Source: ANN)"
animeRelated	['Nissin Men-nashi Donbei x Himote House', 'Himote House: Dai Panic! Minna de Gokiburi Taiji']
animeCharacters	['Himote, Kokoro', 'Arai, Minamo', 'Himote, Kinami', 'Hongou, Tae', 'Himote, Tokiyo', 'Enishi', 'Nyarin']
animeVoices	['Akesaka, Satomi', 'Uesaka, Sumire', 'Mimori, Suzuko', 'Suzaki, Aya', 'Mizuhara, Kaoru', 'Nishi, Asuka', 'Ogino, Karin']
animeStaff	[['Ishidate, Koutarou', 'Director, Series Composition, Original Creator'], ['booota', 'Character Design'], ['Inoue, Junichi', 'Music'], ['Itou, Hajime', 'Music']]
