animeTitle	Ningyo
animeType	Movie
animeNumEpisode	1
releaseDate	1964-09-21 00:00:00
endDate	
animeNumMembers	
animeScore	6.37
animeUsers	1990
animeRank	
animePopularity	7850
animeDescription	"In a fictional place where using the imagination is banned, a boy saves a fish, which surprises everyone by turning into a mermaid. The boy is arrested for imagining this ""nonsense"", and is robbed of his imagination as punishment. 

(Source: ANN)"
animeRelated	[]
animeCharacters	['Boy', 'Mermaid']
animeVoices	[]
animeStaff	[['Tezuka, Osamu', 'Director'], ['Tomita, Isao', 'Music']]
