animeTitle	b'Strange Dawn'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.33
animeUsers	1245
animeRank	
animePopularity	
animeDescription	"b'Yuko and Eri are two normal girls who are sucked into the alternate world filled with tiny people. The people of this mysterious world sees them as their ""Great Protectors"" who can protect their land in a time of strife. The two girls set out on a mission with a group of warriors from the village to find out how they were brought here and how might they return home. However, there is a war brewing and these two Great Protectors are the political tool that every faction lusts for to rally the people to their side. \n\n(Source: ANN)'"
animeRelated	[]
animeCharacters	[b'Miyabe, Yuko', b'Natsuno, Eri', b'Guji', b'Gronar', b'Levian', b'Ortho', b'Sonchou', b'Shura', b'Fusu', b'Deum']
animeVoices	[b'\nShimizu, Kaori\nJapanese\n', b'\nEnomoto, Shouko\nJapanese\n', b'\nAoba, Gou\nJapanese\n', b'\nKatsuki, Masako\nJapanese\n', b'\nKimura, Masafumi\nJapanese\n', b'\nNemoto, Yasuhiko\nJapanese\n', b'\nSatou, Haruo\nJapanese\n', b'\nMorikawa, Toshiyuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSatou, Junichi\n\nCo-Director, Director, Sound Director, Episode Director, Storyboard, Planning, Original Creator\n\n', b'\nKoumoto, Shougo\n\nDirector, Episode Director, Storyboard\n\n', b'\nFujimoto, Yoshitaka\n\nEpisode Director, Storyboard\n\n', b'\nMano, Akira\n\nEpisode Director, Storyboard\n\n']
