animeTitle	b'Seishun Anime Zenshuu'
animeType	b'TV'
animeNumEpisode	32
releaseDate	
endDate	
animeNumMembers	
animeScore	6.4
animeUsers	168
animeRank	
animePopularity	
animeDescription	b'A brilliant collection of beautifully animated episodes based on selected masterpieces of Japanese modern literature.\n\nThe aim of this series is to appeal to the viewer at large and to give him or her some idea of the variety and individuality which Japanese literature has developed over the last hundred years.\n\nThe authors range from Higuchi Ichiyou (Takekurabe), Mori Ougai (The Dancing Girl) and Natsume Souseki (Botchan) to Kawabata Yasunari (The Izu Dancer), Nobel laureate of 1968, and Mishima Yukio (The Sound of Waves).\n\n(Source: Official Website)'
animeRelated	[b'Bocchan', b'Seishun Anime Zenshuu Specials']
animeCharacters	[b'O-Ryou', b'Narrator']
animeVoices	[b'\nImai, Kazuko\nJapanese\n', b'\nKiuchi, Midori\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKurokawa, Fumio\n\nDirector, Storyboard\n\n', b'\nSuda, Yumiko\n\nEpisode Director\n\n', b'\nMiyazaki, Akira\n\nScript\n\n', b'\nNakanishi, Ryuuzou\n\nScript\n\n']
