animeTitle	Taifuu no Noruda
animeType	Movie
animeNumEpisode	1
releaseDate	2015-06-05 00:00:00
endDate	
animeNumMembers	
animeScore	6.21
animeUsers	14362
animeRank	
animePopularity	3085
animeDescription	"The film takes place on a certain isolated island, at a certain middle school, and on the eve of the culture festival. A boy quits baseball after playing his whole life and has a fight with his best friend. Then, they suddenly meet a mysterious, red-eyed girl named Noruda, and a huge typhoon hits the middle school.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Noruda', 'Azuma, Shuuichi', 'Saijou, Kenta']
animeVoices	['Kiyohara, Kaya', 'Nomura, Shuuhei', 'Kaneko, Daichi']
animeStaff	[['Arai, Youjirou', 'Director'], ['Motoyama, Satoshi', 'Sound Director'], ['Bird Bear Hare and Fish', 'Theme Song Lyrics, Theme Song Performance, Theme Song Composition, Theme Song Arrangement'], ['Bahi JD', 'Key Animation']]
