animeTitle	b'Ame-iro Cocoa in Hawaii'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	4.75
animeUsers	1745
animeRank	
animePopularity	
animeDescription	"b""Ame-iro Cocoa: Rainy Cocoa Goes to Hawaii!! Nozomu Tokura, who is Aoi's older brother, is appointed as the manager of the Hawaii store.  With more new characters, will he be able to open up the store there successfully?"""
animeRelated	[b'Ame-iro Cocoa: Rainy Color e Youkoso!', b'Ame-iro Cocoa Series: Ame-con!!']
animeCharacters	[b'Tokura, Nozomu', b'Sakuragi, Ryouta', b'Tokura, Aoi', b'Iwase, Keiichi', b'Koga, Shion', b'Osman, Shank', b'Koga, Nicola', b'Amami, Kouji', b'Koga, Noel', b'Okamura, Callaway']
animeVoices	[b'\nSatou, Yuugo\nJapanese\n', b'\nMiyano, Mamoru\nJapanese\n', b'\nShimono, Hiro\nJapanese\n', b'\nMidorikawa, Hikaru\nJapanese\n', b'\nHirakawa, Daisuke\nJapanese\n', b'\nShirai, Yuusuke\nJapanese\n', b'\nYamaya, Yoshitaka\nJapanese\n', b'\nHorikawa, Ryo\nJapanese\n', b'\nYamamoto, Kazutomi\nJapanese\n', b'\nSomeya, Toshiyuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nIshii, Hisashi\n\nDirector, Episode Director, Storyboard\n\n', b'\nSatou, Yuugo\n\nTheme Song Performance\n\n', b'\nKanetaka, Rika\n\n2nd Key Animation\n\n']
