animeTitle	b'Koutetsu Jeeg'
animeType	b'TV'
animeNumEpisode	46
releaseDate	
endDate	
animeNumMembers	
animeScore	7.01
animeUsers	777
animeRank	
animePopularity	
animeDescription	"b'Hiroshi Shiba is an outstanding car racer whose father is assassinated upon the discovery of the Bronze Bell from an ancient civilization. This Bronze Bell is coveted by Queen Himika who comes from that ancient era; the Yamatai Kingdom, and whose ambitions are to seize the Bell and dominate earth. \n\nHiroshi is left with a few items from his father which would enable him to morph into a full sized mecha warrior, the Steel Jeeg. With these abilities and the help of his father\'s brain implanted in a computer and his assistance Miwa ""Micchi"" Uzuki, they set out to neutralize Himika\'s plans of world dominion.'"
animeRelated	[b'Koutetsu Jeeg', b'Koutetsushin Jeeg']
animeCharacters	[b'Shiba, Hiroshi', b'Uzuki, Miwa', b'Queen Himika', b'Ikima', b'Shiba, Mayumi', b'Shiba, Kikue']
animeVoices	[b'\nFuruya, Toru\nJapanese\n', b'\nYoshida, Rihoko\nJapanese\n', b'\nTakahashi, Kazue\nJapanese\n', b'\nOgata, Kenichi\nJapanese\n', b'\nYamaguchi, Nana\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMorishita, Kouzou\n\nEpisode Director\n\n', b'\nYamayoshi, Yasuo\n\nEpisode Director\n\n', b'\nOchiai, Masamune\n\nEpisode Director\n\n', b'\nFujikawa, Keisuke\n\nScript, Screenplay\n\n']
