animeTitle	Battle Athletess Daiundoukai
animeType	OVA
animeNumEpisode	6
releaseDate	1997-05-25 00:00:00
endDate	1998-06-25 00:00:00
animeNumMembers	5215
animeScore	6.48
animeUsers	1919
animeRank	6215
animePopularity	6878
animeDescription	"It is the year 4999 - mankind has long abandoned war in favor of intergalactic competition through athletic events. One of which is an all-female contest for the coveted ""Cosmo Beauty"" title. Akari Kanzaki has just entered the University Satellite in hopes of becoming the latest Cosmic Beauty - a title held by her mother long ago. On her first few days in the university, she meets new friends, encounters fierce rivals, and struggles to become the best of all the Battle Athletes. 

(Source: ANN)"
animeRelated	['Battle Athletes Daiundoukai', 'Battle Athletess Daiundoukai (TV)']
animeCharacters	['Kanzaki, Akari', 'Yanagida, Ichino', 'Christopher, Chris', 'Respighi, Anna', 'Natdhipytadd, Tanya', 'Gartland, Jessie', 'Walder, Mylandah Arkar', 'Oldman, Grant', 'Feldnunt, Lahrri']
animeVoices	['Natsuki, Rio', 'Hisakawa, Aya', 'Kawakami, Tomoko', 'Yajima, Akiko', 'Sakaguchi, Aya', 'Itou, Miki', 'Okamura, Akemi', 'Nakata, Kouji', 'Yamaguchi, Yuriko']
animeStaff	[['Maseba, Yutaka', 'Producer'], ['Kurata, Hideyuki', 'Script'], ['Hayashi, Hiroki', 'Original Creator'], ['Waki, Takeshi', 'Art Director']]
