animeTitle	Yoake Tsugeru Lu no Uta
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.42
animeUsers	14981
animeRank	
animePopularity	2753
animeDescription	"Kai, a young middle schooler, lives in Hinashi Town, a lonely fishing village, with his father and his grandfather, a sun-umbrella maker. He used to live in Tokyo, but after his parents divorced he moved back to his parent's home town. Kai has trouble telling his parents the complicated feelings he has for them, and he's lonely and pessimistic about his school life. One of his joys is uploading songs he writes to the internet.

One day, his classmates Kunio and Yuuho invite him to join their band, ""SEIRÈN."" As he reluctantly follows them to Merfolk Island, their practice spot, they meet Lu, the mermaid girl. Lu sings merrily and dances innocently. As Kai begins to spend time with her, he starts to be able to say what it is that he's really thinking.

But since ancient times, the people of Hinashi Town have thought that mermaids brought disaster. Something happens that puts a huge rift between Lu and the townspeople. And then, the town is in danger. Will Kai's cry for the heart be able to save the town?

(Source: Fuji Creative Corporation)"
animeRelated	[]
animeCharacters	"['Lu', 'Ashimoto, Kai', ""Lu's Papa"", 'Kunio', 'Ebina, Yuuho', 'Ashimoto, Grandfather', 'Fuguda', 'Isaki', 'Chief Priest', 'Ebina, Father']"
animeVoices	['Tani, Kanon', 'Shimoda, Shouta', 'Shinohara, Shinichi', 'Saitou, Souma', 'Kotobuki, Minako', 'Emoto, Akira', 'Kawashima, Tokuyoshi', 'Itou, Shizuka', 'Sasaki, Mutsumi', 'Cho']
animeStaff	[['Choi, Eun-Young', 'Producer'], ['Yuasa, Masaaki', 'Director, Script'], ['Kimura, Eriko', 'Sound Director'], ['Yoshida, Reiko', 'Script']]
