animeTitle	Kick & Slide
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15965
animeDescription	"The third generation of J SOUL BROTHERS from EXILE TRIBE is reimagined as 7 unique and diverse characters in ""KICK & SLIDE"". This is a slapstick story where the characters solve difficult cases!? and rare cases!? that occur in the colorful and pop vibrant city ""Nakame Town"" with dance and music.

(Source: Official website)"
animeRelated	['Kick & Slide: Kids B Happy no Ambassador wo Sagase!']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
