animeTitle	Shitcom
animeType	ONA
animeNumEpisode	1
releaseDate	2012-09-21 00:00:00
endDate	
animeNumMembers	
animeScore	2.75
animeUsers	13857
animeRank	
animePopularity	4147
animeDescription	"A beautiful couple is enjoying a lovely dinner together when suddenly the woman's stomach begins to make loud, rumbling sounds. As she attempts to calm the beast in her belly, her partner proposes to her, leaving her both overjoyed and distressed at her situation. The astonishing events of that night now begin to unfold, as a mysterious mass starts to make its way out of her mouth...

[Written by MAL Rewrite]"
animeRelated	[]
animeCharacters	['Woman', 'Man']
animeVoices	[]
animeStaff	[['Takena, Nagao', 'Director']]
