animeTitle	Ai no Gakkou Cuore Monogatari
animeType	TV
animeNumEpisode	26
releaseDate	1981-04-03 00:00:00
endDate	1981-09-25 00:00:00
animeNumMembers	2030
animeScore	6.5
animeUsers	509
animeRank	6113
animePopularity	9392
animeDescription	"Enrico Pocchini is a kind-hearted schoolboy with a strong sense of justice who lives in the Italian town of Torino. As a new term starts, he loses his beloved teacher, Miss Delacci, who is replaced by the stern Sr. Pelboni. Eventually, the boys in Enrico's class come to respect Sr. Pelboni, and learn about love, life and human kindness.

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Pocchini, Enrico', 'Antonio', 'Head Teacher', 'Garoffi', 'Nobis, Carlo', 'Koretti', 'Kurosshi', 'Rovetti', 'Pelboni-sensei', 'Gallone']
animeVoices	['Fujita, Toshiko', 'Matsuoka, Youko', 'Mizutori, Tetsuo', 'Oota, Yoshiko', 'Majima, Satomi', 'Komiya, Kazue', 'Matsushima, Minori', 'Ukai, Rumiko', 'Terashima, Mikio', 'Maruyama, Hiroko']
animeStaff	[['Nakanishi, Ryuuzou', 'Script'], ['Takeda, Eri', 'Theme Song Performance'], ['Itou, Akira', 'Theme Song Lyrics'], ['NHK Tokyo Jidou Gasshoudan', 'Theme Song Lyrics']]
