animeTitle	Durarara!!x2 Ten: Onoroke Chakapoko
animeType	Special
animeNumEpisode	1
releaseDate	2016-01-27 00:00:00
endDate	
animeNumMembers	
animeScore	7.55
animeUsers	19231
animeRank	
animePopularity	2592
animeDescription	"In spite of the mayhem that has been taking place in Ikebukuro, Shinra Kishitani and Celty Sturluson have decided to go on a short trip. Excited to finally be going out with the one he loves, the underground doctor makes it his priority to give Celty his undivided attention, even if it means rejecting phone calls from his good friend Izaya Orihara.

However, despite his hopes of having a peaceful holiday, Ikebukuro's various residents continue trying to reach him. Furthermore, just as Shinra begins to enjoy reminiscing about old memories on a carriage ride together with his beloved, Celty starts to notice a strange presence...

[Written by MAL Rewrite]"
animeRelated	['Durarara!!', 'Durarara!!x2 Ten']
animeCharacters	['Orihara, Izaya', 'Heiwajima, Shizuo', 'Sturluson, Celty', 'Kishitani, Shinra', 'Heiwajima, Kasuka', 'Yagiri, Namie', 'Geissendorfer, Traugott']
animeVoices	['Kamiya, Hiroshi', 'Ono, Daisuke', 'Sawashiro, Miyuki', 'Fukuyama, Jun', 'Kishio, Daisuke', 'Kobayashi, Sanae', 'Suwabe, Junichi']
animeStaff	[['Oomori, Takahiro', 'Director'], ['Yoshinaga, Aya', 'Script'], ['Toyonaga, Toshiyuki', 'Theme Song Performance, Theme Song Lyrics, Theme Song Composition'], ['Narita, Ryohgo', 'Original Creator']]
