animeTitle	b'5-toubun no Hanayome Movie'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'No synopsis information has been added to this title. Help improve our database by adding a synopsis here.'
animeRelated	[b'5-toubun no Hanayome \xe2\x88\xac']
animeCharacters	[b'Nakano, Miku', b'Nakano, Itsuki', b'Nakano, Nino', b'Nakano, Yotsuba', b'Nakano, Ichika', b'Uesugi, Fuutarou']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nHaruba, Negi\n\nOriginal Creator\n\n']
