animeTitle	b'Star\xe2\x98\x86Twinkle Precure'
animeType	b'TV'
animeNumEpisode	49
releaseDate	
endDate	
animeNumMembers	
animeScore	7.37
animeUsers	2268
animeRank	
animePopularity	
animeDescription	"b'Hikaru Hoshina is an energetic middle school student with a love for space and the occult. As she draws constellations in her notebook, a small and fluffy creature suddenly appears from it! The creature, which she names Fuwa, turns out to be an alien with the ability to create warp holes. \n\nWhen Fuwa\'s companions, the aliens Lala Hagoromo and Prunce, arrive on Earth, they declare that they are searching for the Precure, legendary warriors who will save the universe. But an organization known as the Notraiders soon follows and attacks, intending to capture Fuwa and its power. Overcome by a desire to protect Fuwa, Hikaru finds herself transforming into ""Cure Star,"" one of the Precure that Lala and the others have been searching for!\n\nIt is now up to Hikaru and the rest to fend off the Notraiders\' onslaught, discover the rest of the Precure, and find the Star Color Pens, artifacts that will awaken the 12 Star Princess who keep the universe in balance.\n\n[Written by MAL Rewrite]'"
animeRelated	"[b'Star\xe2\x98\x86Twinkle Precure', b'Futari wa Precure: Splash\xe2\x98\x86Star', b'Futari wa Precure: Max Heart', b'Suite Precure\xe2\x99\xaa', b'Smile Precure!', b'Dokidoki! Precure', b'Happiness Charge Precure!', b'Go! Princess Precure', b'Kirakira\xe2\x98\x86Precure A La Mode', b'Hug tto! Precure', b""Healin' Good\xe2\x99\xa1Precure"", b'Tropical-Rouge! Precure', b'Precure Miracle Universe Movie', b'Star\xe2\x98\x86Twinkle Precure: Hoshi no Uta ni Omoi wo Komete', b'Precure Miracle Leap Movie: Minna to no Fushigi na Ichinichi']"
animeCharacters	[b'Hagoromo, Lala', b'Hoshina, Hikaru', b'Yuni', b'Kaguya, Madoka', b'Amamiya, Elena', b'Fuwa', b'Prunce', b'Kappard', b'Aiwarn', b'Himenojou, Sakurako']
animeVoices	[b'\nKohara, Konomi\nJapanese\n', b'\nNaruse, Eimi\nJapanese\n', b'\nUesaka, Sumire\nJapanese\n', b'\nKomatsu, Mikako\nJapanese\n', b'\nYasuno, Kiyono\nJapanese\n', b'\nKino, Hina\nJapanese\n', b'\nYoshino, Hiroyuki\nJapanese\n', b'\nHosoya, Yoshimasa\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYanagawa, Akari\n\nProducer\n\n', b'\nMiyamoto, Hiroaki\n\nDirector, Episode Director, Storyboard\n\n', b'\nTanaka, Yuuta\n\nStoryboard\n\n', b'\nKitagawa, Rie\n\nTheme Song Performance\n\n']
