animeTitle	Ryoujoku Famiresu Choukyou Menu
animeType	OVA
animeNumEpisode	2
releaseDate	2010-09-24 00:00:00
endDate	2010-12-24 00:00:00
animeNumMembers	6580
animeScore	6.46
animeUsers	2238
animeRank	
animePopularity	6272
animeDescription	"Sayaka's family is rich but her parents suddenly go missing. She needs to find a job to make a living but she doesn't know what to do. One day, Yuzuko offers Sayaka a part-time job at a family restaurant. She takes it and starts to work there. But Kuroki, the boss of the restaurant, tells Sayaka that her parents go missing because they failed business and they are up to their neck in debt now. To save them, to pay off their debt is the one and only way. She is at a loss what to do but Kuroki gives her an idea, ""Our restaurant offers special service only during midnight. If you put yourself on the menu book, it will be quicker to pay off the debt."" After business hours, there are waitresses giving sexual service to customers night after night. Sayaka decides to work midnight to save her parents...

(Source: ErogeShop)"
animeRelated	[]
animeCharacters	['Kanzaki, Sayaka', 'Kanzaki, Moemi']
animeVoices	['Kawaragi, Shiho', 'Igarashi, Hiromi']
animeStaff	[['Nobidome, Youta', 'Director, Episode Director, Storyboard, Key Animation'], ['Ishihara, Keiji', 'Character Design']]
