animeTitle	Duel Masters King
animeType	TV
animeNumEpisode	47
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	12449
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Duel Masters!!', 'Duel Masters King!']
animeCharacters	['Kirifuda, Joe', 'Deckie', 'Onifuda, Abaku', 'Conny', 'Cap', 'Uraraka, Momo', 'Kira', 'Bolts']
animeVoices	['Kobayashi, Yumiko', 'Satou, Setsuji', 'Kimura, Ryouhei', 'Murakawa, Rie', 'Ichikawa, Taichi', 'Toyosaki, Aki', 'Toyonaga, Toshiyuki', 'Shiraishi, Minoru']
animeStaff	[['Ishiodori, Hiroshi', 'Director'], ['Itou, Takumi', 'Sound Director'], ['Inoue, Akiko', 'Script'], ['Mizuki, Nana', 'Theme Song Performance']]
