animeTitle	Yakin Byoutou Ni
animeType	OVA
animeNumEpisode	5
releaseDate	2004-07-30 00:00:00
endDate	2006-01-27 00:00:00
animeNumMembers	
animeScore	6.1
animeUsers	1701
animeRank	
animePopularity	7141
animeDescription	"An elite doctor Kuwahara couldnt forget his thought toward Nanase Ren, whom he had loved in his youth. Then he changed the hospital to work one after another to look for her, and finally he met her again at the St. Cattleya Hospital. However, her attitude was remote and his love couldnt be fulfilled. To make the matter worse, he received photograph on which Ren was molested. Ren had been turned into a lewd woman by Hirasaka by the woman body experiment when she was at the St. Julianna Hospital. He was disappointed and he lost his mind. Kazama Mana who was a nurse of the gynecology and obstetrics section, loved Kuwahara, and she resembled Ren. Taking advantage of her thoughts, Kuwahara raped her and deprived her virginity shouting the name of Ren.

(Source: AnimeNfo)"
animeRelated	['Yakin Byoutou 2', 'Yakin Byoutou', 'Yakin Byoutou San', 'Kazama Mana']
animeCharacters	['Nanase, Ren', 'Kazama, Mana', 'Tezuka, Sayuki', 'Hirasaka, Ryuji', 'Kaneshiro, Riuru', 'Nogami, Suzuka', 'Konohara, Karen', 'Ohkawa, Naoya']
animeVoices	['Motoi, Emi', 'Iwai, Yukiko', 'Tobita, Nobuo']
animeStaff	[['Mink', 'Original Creator']]
