animeTitle	b'Koukou Butouden Crows'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.81
animeUsers	1577
animeRank	
animePopularity	
animeDescription	"b'Bouya Harumichi is a new transfer student to Suzuran all-boys high school, a place where only the worst delinquents assemble. Due to its large amount of delinquents who are hated by the general people for their inauspiciousness, similarly to crows, it is also known as ""Crows High School.""\n\nHarumichi is an insanely strong fighter but has an irresponsible personality. How will he act in this new environment where everyone is a delinquent?\n\n(Source: MU)'"
animeRelated	[b'Crows']
animeCharacters	[b'Bouya, Harumichi', b'Hayashida, Megumi', b'Honjou, Toshiaki', b'Kirishima, Hiromi', b'Bandou, Hideto', b'Kunou, Ryuushin', b'Sugihara, Makoto', b'Katsuragi, Genjirou', b'Yasuda, Yasuo', b'Akutsu, Futoshi']
animeVoices	[b'\nUgaki, Hidenari\nJapanese\n', b'\nOotsuka, Akio\nJapanese\n', b'\nTsujitani, Kouji\nJapanese\n', b'\nMorikawa, Toshiyuki\nJapanese\n', b'\nYao, Kazuki\nJapanese\n', b'\nKosugi, Juurouta\nJapanese\n', b'\nAnzai, Masahiro\nJapanese\n', b'\nYamaguchi, Kappei\nJapanese\n', b'\nSugawara, Masashi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nTanaka, Hideyuki\n\nSound Director\n\n', b'\nTHE STREET BEATS\n\nTheme Song Performance, Inserted Song Performance\n\n', b'\nTakahashi, Hiroshi\n\nOriginal Creator, Original Character Design\n\n', b'\nOokubo, Hiroshi\n\nKey Animation\n\n']
