animeTitle	b'Sekaikei Sekai Ron'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.77
animeUsers	428
animeRank	
animePopularity	
animeDescription	b'Regarding the destruction of the world, the light relation between the world and me.'
animeRelated	[]
animeCharacters	[b'I', b'Meruto', b'Friend', b'Younger Sister']
animeVoices	[b'\nSakato\nJapanese\n', b'\nHazumi, Sera\nJapanese\n', b'\nFujiwara, Masahiro\nJapanese\n', b'\nKawasato, Mutsuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYamamoto, Soubi\n\nDirector\n\n', b'\nLedford, John\n\nExecutive Producer\n\n', b'\nWilliams, Janice\n\nADR Director\n\n']
