animeTitle	CB Chara Go Nagai World
animeType	OVA
animeNumEpisode	3
releaseDate	1991-02-21 00:00:00
endDate	1991-06-27 00:00:00
animeNumMembers	2940
animeScore	6.84
animeUsers	1178
animeRank	4440
animePopularity	8421
animeDescription	Various characters from Go Nagai works including Devil Man, Mazinger, and Violence Jack, become trapped in a parody world where they all be come super deformed. They get trapped in this mishmash, fighting each other and are trying to figure a way back to their own world.
animeRelated	['Violence Jack: Harlem Bomber-hen', 'Devilman', 'Mazinger Z', 'Devilman: Yochou Sirene-hen']
animeCharacters	['Asuka, Ryou', 'Fudou, Akira', 'Devilman', 'Kabuto, Kouji', 'Dr. Hell', 'Satan', 'Makimura, Miki', 'Violence Jack', 'Silene', 'Amon']
animeVoices	['Mizushima, Yuu', 'Hayami, Show', 'Yamaguchi, Kappei', 'Tomita, Kousei', 'Tamagawa, Sakiko', 'Kouyamaki, Jun', 'Ishizuka, Unshou', 'Sakakibara, Yoshiko', 'Tanaka, Ryouichi']
animeStaff	[['Iida, Umanosuke', 'Director, Storyboard'], ['Yabuki, Tsutomu', 'Episode Director'], ['Ishihara, Shinichi', 'Theme Song Performance'], ['Nagai, Go', 'Original Creator']]
