animeTitle	b'Brigadoon: Marin to Melan'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	7.26
animeUsers	2537
animeRank	
animePopularity	
animeDescription	b'Marin is a typical junior high school girl with a sunny disposition and a loving adoptive family. Her life takes a drastic change when a mysterious mirage is seen in the sky above the entire earth. Killer androids called Monomakia descend to earth from the formation in the sky called Brigadoon and begin to hunt down little Marin. She discovers a blue bottle in a shrine as she seeks escape and from the bottle comes a protector, a sword carrying gun slinging alien called Melan Blue, together they must save the earth and deal with family crisis, school prejudice and the police and come to an understanding of Marins past and Melans unexplained mission, as well as learn to trust each other. Set in 1969 Japan with a colorful cast of friends and enemies.\n\n(Source: ANN)'
animeRelated	[b'Brigadoon: Marin to Melan']
animeCharacters	[b'Blue, Melan', b'Asagi, Marin', b'Lolo', b'Mano, Midori', b'Asagi, Moto', b'Kisaragi, Moe', b'Alo, Makota', b'Tokita, Jun', b'Silver, Pyon', b'Garnet, Erin']
animeVoices	[b'\nOotsuka, Houchuu\nJapanese\n', b'\nKawana, Midori\nJapanese\n', b'\nShintani, Mayumi\nJapanese\n', b'\nYuzuki, Ryouka\nJapanese\n', b'\nAikawa, Rikako\nJapanese\n', b'\nSaitou, Ayaka\nJapanese\n', b'\nMidorikawa, Hikaru\nJapanese\n', b'\nAraki, Kae\nJapanese\n', b'\nTakada, Yuji\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKouchiyama, Takashi\n\nProducer\n\n', b'\nYonetani, Yoshitomo\n\nDirector, Episode Director, Storyboard, Theme Song Lyrics, Planning, Original Creator\n\n', b'\nOokuma, Akira\n\nSound Director\n\n', b'\nKurata, Hideyuki\n\nScript, Series Composition, Screenplay\n\n']
