animeTitle	Yama no Susume
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.82
animeUsers	23725
animeRank	
animePopularity	2103
animeDescription	"As a child, Aoi Yukimura adored mountains and was passionate about climbing. However, a playground accident has since left her afraid of heights, turning her toward indoor hobbies. Unfortunately, now a shy and timid first-year high school student, Aoi has become so absorbed in these pastimes that she can barely socialise with others, leaving her practically friendless. It’s only when she runs into the lively Hinata Kuraue, an old friend from her climbing days, that things start to change. 

Impulsive and high-spirited, Hinata insists on having Aoi join her in all sorts of climbing activities. Though reluctant at first, Aoi quickly finds that her time with Hinata brings back fond memories of their childhood and soon decides to start climbing again. As the return to her past hobby starts to bring her out of her shell, Aoi finds herself gaining close friends, taking on new challenges, and continuing to find her own encouragement to climb.

[Written by MAL Rewrite]"
animeRelated	['Yama no Susume', 'Yama no Susume: Kabe tte Kowakunai no?']
animeCharacters	['Yukimura, Aoi', 'Kuraue, Hinata', 'Aoba, Kokona', 'Saitou, Kaede', 'Kuraue, Kenichi']
animeVoices	['Iguchi, Yuka', 'Asumi, Kana', 'Ogura, Yui', 'Hikasa, Youko', 'Ogino, Seirou']
animeStaff	[['Yamamoto, Yuusuke', 'Director, Episode Director, Script, Storyboard'], ['Asumi, Kana', 'Theme Song Performance'], ['Iguchi, Yuka', 'Theme Song Performance'], ['Tom-H@ck', 'Theme Song Composition, Music']]
