animeTitle	b'One Room Second Season'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.1
animeUsers	17398
animeRank	
animePopularity	
animeDescription	b'Second season of One Room. '
animeRelated	[b'One Room', b'One Room Second Season: Hanasaka Yui no Prologue', b'One Room Second Season Special', b'One Room Third Season']
animeCharacters	[b'Hanasaka, Yui', b'Amatsuki, Mashiro', b'Nanahashi, Minori']
animeVoices	[b'\nIchimichi, Mao\nJapanese\n', b'\nMinase, Inori\nJapanese\n', b'\nTakahashi, Rie\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSuzuki, Ryouhei\n\nProducer\n\n', b'\nTateishi, Yayoi\n\nSound Director\n\n', b'\nShimoi, Aose\n\nScript\n\n', b'\nSakuma, Takashi\n\nStoryboard\n\n']
