animeTitle	Sankarea OVA
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.23
animeUsers	53836
animeRank	
animePopularity	1651
animeDescription	"Two OVA episodes are bundled as DVDs with each of volumes 6 and 7 of the manga.

The first OVA is a prequel story written by the manga's author. Before the beginning of the main story, Rea and Chihiro have already met at a certain place: an outdoor hot-spring bath.

The second OVA takes place after the series (effectively episode 14). The Furuya family finds a mysterious young girl hiding under the household temple."
animeRelated	['Sankarea', 'Sankarea: Wagahai mo... Zombie de Aru...']
animeCharacters	['Sanka, Rea', 'Furuya, Chihiro', 'Baabu', 'Furuya, Mero', 'Saouji, Ranko', 'Furuya, Jogorou', 'Sanka, Aria', 'Furuya, Doon', 'Butler', 'Satsuki']
animeVoices	['Uchida, Maaya', 'Kimura, Ryouhei', 'Iguchi, Yuka', 'Yahagi, Sayuri', 'Saitou, Shirou', 'Asano, Mayumi', 'Ogino, Seirou', 'Kanemitsu, Nobuaki', 'Kuwashima, Houko']
animeStaff	[['Omata, Shinichi', 'Director'], ['Namura, Hidetoshi', 'Storyboard'], ['nano.RIPE', 'Theme Song Composition, Theme Song Arrangement, Theme Song Performance, Theme Song Lyrics'], ['Annabel', 'Theme Song Lyrics, Theme Song Performance']]
