animeTitle	b'Injuu Onna Kyoushi'
animeType	b'OVA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	5.46
animeUsers	404
animeRank	
animePopularity	
animeDescription	"b""Yuko is trying to escape from an abusive ex-boyfriend, Taki. After a horrible incident, Yuko seeks out Ayano, her best friend and lover. Ayano invites Yuko to join her in the shower, where she uses her tongue to comfort both Yuko's mind and luscious body... Ayano is starting a new research project, and as part of her project, she possesses and ancient scroll, a mummified body part, and a dagger. Yuko offers to help her with her research by doing a biological analysis on the mummified part. Several days later, Yuko endures another traumatic encounter with Taki. After forcing himself on Yuko, he commits an unimaginable act, leading to the resurrection of the Lust-demon!!! This time, the demon will not be easily subdued... a story filled with horror and mystery, you'll be sure to enjoy this visual feast filled with red-hot sex and nightmarish imagery...\n\n(Source: AniDB)"""
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
