animeTitle	Hetalia World★Stars
animeType	ONA
animeNumEpisode	12
releaseDate	2021-04-01 00:00:00
endDate	2021-06-17 00:00:00
animeNumMembers	16257
animeScore	6.81
animeUsers	4280
animeRank	4591
animePopularity	4398
animeDescription	"There are strange people in this world. If it is short, it will disappear for several days, and if it is long, it will disappear for hundreds of years. The name and personality changed, and suddenly appeared by someone's unexpected idea. Even though he is the most weird, he is loosely accepted and used by his boss. This is the story of such strange people.

(Source: MAL News)"
animeRelated	['Hetalia World☆Stars', 'Hetalia Axis Powers', 'Hetalia World★Stars Specials']
animeCharacters	['United Kingdom', 'North Italy', 'Russia', 'America', 'Germany', 'Japan', 'France', 'Austria', 'Seychelles', 'Portugal']
animeVoices	['Sugiyama, Noriaki', 'Namikawa, Daisuke', 'Takato, Yasuhiro', 'Konishi, Katsuyuki', 'Yasumoto, Hiroki', 'Takahashi, Hiroki', 'Onosaka, Masaya', 'Umehara, Yuuichirou']
animeStaff	[['Watanabe, Hiroshi', 'Director'], ['Hiramitsu, Takuya', 'Sound Director'], ['Himaruya, Hidekaz', 'Original Creator'], ['Fudeyasu, Kazuyuki', 'Series Composition']]
