animeTitle	b'Mahou Shoujo Site'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.51
animeUsers	71395
animeRank	
animePopularity	
animeDescription	"b'Every day, Aya Asagiri thinks about killing herself. She is bullied relentlessly at school, and at home, her older brother Kaname physically abuses her to relieve the academic stress put on him by their father.\n\nOne night, as she lies awake wishing for death, a mysterious website called Magical Girl Site appears on her laptop, promising to give her magical powers. At first, she dismisses it as a creepy prank, but when she finds a magical gun in her shoe locker the next day, she doesn\'t know what to believe. Deciding to take it with her, she soon runs into her bullies once again. But this time, desperate for anything to save her, she uses the gun\xe2\x80\x94and her assailants are transported to a nearby railroad crossing, where they are run over. \n\nAya\'s conscience is unable to handle the fact that she murdered two of her classmates with magic, and she desperately tries to understand the situation. However, when she finds herself in trouble again, she is saved by Tsuyuno Yatsumura, a classmate who can use magic to stop time. This duo has a lot to do: not only do they have to fight alongside and against other magical girls, but they also need to uncover the truth behind the website and the apocalyptic event known as ""The Tempest"" that is soon to occur.\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Mahou Shoujo Site', b'Mahou Shoujo Site Recaps']
animeCharacters	[b'Asagiri, Aya', b'Yatsumura, Tsuyuno', b'Anazawa, Nijimi', b'Shizukume, Sarina', b'Shioi, Rina', b'Amagai, Kosame', b'Suirenji, Kiyoharu', b'Asagiri, Kaname', b'Takiguchi, Asahi', b'Izumigamine, Mikari']
animeVoices	[b'\nOono, Yuuko\nJapanese\n', b'\nAkaneya, Himika\nJapanese\n', b'\nSerizawa, Yuu\nJapanese\n', b'\nYamazaki, Haruka\nJapanese\n', b'\nSuzuki, Aina\nJapanese\n', b'\nHara, Yumi\nJapanese\n', b'\nMatsui, Eriko\nJapanese\n', b'\nOkamoto, Nobuhiko\nJapanese\n', b'\nLynn\nJapanese\n', b'\nHondo, Kaede\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMatsubayashi, Tadahito\n\nDirector, Episode Director, Storyboard\n\n', b'\nNaya, Ryousuke\n\nSound Director\n\n', b'\nSekine, Ayumi\n\nScript\n\n', b'\nIkami, Takayo\n\nScript, Series Composition\n\n']
