animeTitle	Street Fighter Alpha: Generations
animeType	Movie
animeNumEpisode	1
releaseDate	2005-10-25 00:00:00
endDate	
animeNumMembers	
animeScore	6.48
animeUsers	7681
animeRank	
animePopularity	4806
animeDescription	"When Ryu returns to pay homage to his deceased mentor, Gouken, he is tormented by disturbing memories of his master's killer. In a quest to become a true martial arts master, Ryu sets out to hone his street fighting skills and to deliver himself from the haunting legacy of the Dark Hadou. But the ultimate test of his new power can only be accomplished through one last fateful confrontation with his arch-nemesis, Gouki (Akuma). 

(Source: AniDB)"
animeRelated	['Street Fighter Zero The Animation']
animeCharacters	['Ryuu', 'Gouki', 'Masters, Ken', 'Kasugano, Sakura', 'Gouken', 'Goutetsu']
animeVoices	['Kase, Yasuyuki', 'Gouri, Daisuke', 'Hanawa, Eiji', 'Kawasaki, Mao']
animeStaff	[['Kuwana, Ikuo', 'Director, Storyboard, Character Design'], ['Honda, Yasunori', 'Sound Director'], ['Yoshida, Reiko', 'Script'], ['Watanabe, Akio', 'Key Animation']]
