animeTitle	Hanamaru Youchien
animeType	TV
animeNumEpisode	12
releaseDate	2010-01-11 00:00:00
endDate	2010-03-29 00:00:00
animeNumMembers	73782
animeScore	7.29
animeUsers	30659
animeRank	2471
animePopularity	1978
animeDescription	Anzu goes to a kindergarten with her friends, the shy Koume and the eccentric Hiiragi. Together they try to attract attention from their caretaker Tsuchida. However, he is clearly more interested in the pretty Yamamoto who supervises the class next door.
animeRelated	['Hanamaru Youchien', 'Hanamaru Youchien: Panda Neko Taisou', 'Youchien Senshi: Hanamaru Girls', 'Hanamaru Youchien Special Preview']
animeCharacters	['Hiiragi', 'Anzu', 'Koume', 'Yamamoto, Nanako', 'Tsuchida, Naozumi', 'Tsuchida, Satsuki', 'Hinagiku', 'Kawashiro', 'Kobayakawa, Yuu', 'Sakura']
animeVoices	['Takagaki, Ayahi', 'Shindou, Kei', 'Mako', 'Hazuki, Erino', 'Kimura, Haruka', 'Hirota, Shion', 'Ise, Mariya', 'Wakabayashi, Naomi', 'Igarashi, Hiromi', 'Honna, Youko']
animeStaff	[['Takeda, Yasuhiro', 'Producer'], ['Mizushima, Seiji', 'Director'], ['Motoyama, Satoshi', 'Sound Director'], ['Yamamoto, Sayo', 'Episode Director, Storyboard']]
