animeTitle	Kakyuusei 2: Anthology
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.96
animeUsers	628
animeRank	
animePopularity	8753
animeDescription	"Childhood friends, Rouma and Tamaki, are not just friends. Actually, they have sexual intercourse, but they're not lovers, either. One day, Tamaki gets angry with Rouma and announces to break with him because he didn't take contraception measure while they were doing things.

However, because they belong to the same club, they have to meet. Seeing their cold attitudes, Yuuri tries to make them friends again. However, she can't hide her love toward Rouma, and confesses her love. Then, they make love, but...

(Source: AnimeNfo)"
animeRelated	['Kakyuusei 2: Hitomi no Naka no Shoujo-tachi', 'Elf-ban Kakyuusei: Anata dake wo Mitsumete...', 'Kakyuusei (TV)', 'Kakyuusei', 'Kakyuusei 2: Sketchbook']
animeCharacters	['Saimon, Tamaki', 'Oriya, Rouma', 'Takatoo, Nanase', 'Shirai, Yuuri']
animeVoices	['Kawaragi, Shiho', 'Inokuchi, Yuka']
animeStaff	[['Kawaragi, Shiho', 'Theme Song Performance'], ['Inokuchi, Yuka', 'Theme Song Performance'], ['ELF Corporation', 'Original Creator']]
