animeTitle	Soukou Musume Senki
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	5.75
animeUsers	2485
animeRank	
animePopularity	5016
animeDescription	"Riko Morisawa, a young girl from Tokorozawa, goes on a trip to Tokyo with her friend Mana. While they roam around the shops of Ikebukuro, Riko spots a billboard about an event related to the Little Battlers eXperience (LBX) line of toys. Mana urges Riko to purchase one, and although initially declining, Riko soon avails a few LBX kits for her father.

Upon opening one of the boxes labeled ""LBX Assassin,"" a temporal rift manifests itself and transports Riko into the sky of an alternate Japan. While she falls at terminal velocity, an exosuit based on the LBX Assassin materializes around her, saving her from the descent. However, on the ground, she encounters the Mimesis, lethal metallic creatures that invade world after world. As she flees away from these monsters, Riko is rescued by four other LBX-equipped girls. After learning about Riko's predicament, the group decides to recruit her into their combat unit—""Soukou Musume.""

Soukou Musume Senki narrates how the unit endures the trials and tribulations they face, developing unbreakable bonds along the way.

[Written by MAL Rewrite]"
animeRelated	['Danball Senki', 'Danball Senki W', 'Danball Senki Wars']
animeCharacters	['Suzuno', 'Miharu', 'Kyouka', 'Riko', 'Yui']
animeVoices	['Miyashita, Saki', 'Fukuhara, Ayaka', 'Oonishi, Saori', 'Aida, Rikako', 'Murakawa, Rie']
animeStaff	[['Motonaga, Keitarou', 'Director'], ['Ebina, Yasunori', 'Sound Director'], ['Aida, Rikako', 'Theme Song Performance'], ['Kano', 'Theme Song Performance']]
