animeTitle	Tennis no Ouji-sama: Message in a Bottle
animeType	Special
animeNumEpisode	1
releaseDate	2009-12-22 00:00:00
endDate	
animeNumMembers	
animeScore	6.71
animeUsers	561
animeRank	
animePopularity	9266
animeDescription	"Picture drama episode included with Prince of Tennis official DVD fandisc.

Atobe, sneakily, throws a message in a bottle in the river, which winds up next to the Rikkai and the Seigaku regulars.

(Source: Prince of Tennnis Wiki)"
animeRelated	['Tennis no Ouji-sama']
animeCharacters	['Echizen, Ryouma', 'Fuji, Shuusuke', 'Atobe, Keigo', 'Kikumaru, Eiji', 'Kirihara, Akaya', 'Sanada, Genichirou', 'Momoshiro, Takeshi', 'Oishi, Shuichiro', 'Yanagi, Renji', 'Oshitari, Yuushi']
animeVoices	['Minagawa, Junko', 'Kaida, Yuki', 'Suwabe, Junichi', 'Takahashi, Hiroki', 'Morikubo, Shoutarou', 'Kusunoki, Taiten', 'Onosaka, Masaya', 'Kondou, Takayuki', 'Takemoto, Eiji', 'Kiuchi, Hidenobu']
animeStaff	[['Konomi, Takeshi', 'Original Creator']]
