animeTitle	Sore Ike! Anpanman: Anpanman to Tanoshii Nakama-tachi
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15291
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Sore Ike! Anpanman']
animeCharacters	['Anpanman', 'Umeko-chan']
animeVoices	['Toda, Keiko']
animeStaff	[['Ooga, Shunji', 'Director'], ['Konparu, Tomoko', 'Screenplay'], ['Yanase, Takashi', 'Original Creator'], ['Kondou, Hiroaki', 'Music']]
