animeTitle	b'Devils Line: Anytime Anywhere'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.9
animeUsers	6498
animeRank	
animePopularity	
animeDescription	"b""Bundled with the limited edition of the manga' 12th compiled volume."""
animeRelated	[b'Devils Line']
animeCharacters	[b'Anzai, Yuuki', b'Anzai, Tamaki', b'Anzai, Midori', b'Taira, Tsukasa']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nHanada, Ryou\n\nOriginal Creator\n\n']
