animeTitle	b'Soushisouai Note The Animation'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.21
animeUsers	3420
animeRank	
animePopularity	
animeDescription	b'Based on the manga by Fukudahda.\n\nAsoka Madoka is invited to karaoke by her friends where she is introduced to Miyamoto who she happens to know from before. The two other girls depart with two other boys. Then, Asoka and Miyamota make out, rent a love hotel, and do what needs to be done.\n\nAi-chan is a girl who happens to be into a smell fetish who likes Namikawa. After school, when there is no one around, the two of them have some fun.'
animeRelated	[b'Soushisouai Note']
animeCharacters	[b'Minagawa', b'Nakatsu, Yurie', b'Asaoka, Madoka', b'Shindou, Ai', b'Kuramochi, Natsumi', b'Namikawa, Hitoshi', b'Akihiko', b'Miyamoto, Mitsuru', b'Takase']
animeVoices	[b'\nKobayashi, Maki\nJapanese\n', b'\nRikimaru, Noriko\nJapanese\n', b'\nSugita, Tomokazu\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nRaika, Ken\n\nDirector\n\n', b'\nDoshida, Tomoaki\n\nStoryboard\n\n', b'\nFukudahda\n\nOriginal Creator\n\n', b'\nSuzuki, Takato\n\nKey Animation\n\n']
