animeTitle	Detective Conan OVA 08: High School Girl Detective Sonoko Suzuki's Case Files
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.21
animeUsers	5680
animeRank	
animePopularity	5018
animeDescription	"Sonoko is writing a script for a play. In her script, there's a murder case, and high-school detective Suzuki Sonoko is there to help solve it. Haibara finds flaws in the deduction section of the plot, and Ran decides to call Shinichi for help with the script.

(Source: Wikipedia, edited)"
animeRelated	['Detective Conan']
animeCharacters	['Edogawa, Conan', 'Haibara, Ai', 'Mouri, Ran', 'Yoshida, Ayumi', 'Suzuki, Sonoko', 'Tsuburaya, Mitsuhiko', 'Kojima, Genta', 'Mouri, Kogorou', 'Takagi, Wataru', 'Megure, Juuzou']
animeVoices	['Takayama, Minami', 'Hayashibara, Megumi', 'Yamazaki, Wakana', 'Iwai, Yukiko', 'Matsui, Naoko', 'Ootani, Ikue', 'Takagi, Wataru', 'Kamiya, Akira', 'Chafurin']
animeStaff	[['U-ka Saegusa in db', 'Theme Song Performance, Theme Song Lyrics, Theme Song Composition'], ['Aoyama, Gosho', 'Original Creator'], ['Yokoyama, Masakazu', 'Sound Effects']]
