animeTitle	b'Agigongryong Doolie'
animeType	b'TV'
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	6.11
animeUsers	135
animeRank	
animePopularity	
animeDescription	b'The story of a baby dinosaur in modern day South Korea.'
animeRelated	[b'Agigongryong Doolie (Movie)', b'Agigongryong Doolie (1988)', b'Agigongryong Doolie (2009)', b'Doolie Baenang-Yeohaeng']
animeCharacters	[b'Dooly', b'Go, Kildong', b'Mayikol', b'Ttochi', b'Go, Hui-dong', b'Donor', b'Goong, Seal', b'Alien, Squid', b'Mom, Dooley']
animeVoices	[]
animeStaff	[]
