animeTitle	b'Beelzebub'
animeType	b'TV'
animeNumEpisode	60
releaseDate	
endDate	
animeNumMembers	
animeScore	7.88
animeUsers	224644
animeRank	
animePopularity	
animeDescription	"b'Ishiyama High is a school populated entirely by delinquents, where nonstop violence and lawlessness are the norm. However, there is one universally acknowledged rule\xe2\x80\x94don\'t cross first year student Tatsumi Oga, Ishiyama\'s most vicious fighter.\n\nOne day, Oga is by a riverbed when he encounters a man floating down the river. After being retrieved by Oga, the man splits down the middle to reveal a baby, which crawls onto Oga\'s back and immediately forms an attachment to him. Though he doesn\'t know it yet, this baby is named Kaiser de Emperana Beelzebub IV, or ""Baby Beel"" for short\xe2\x80\x94the son of the Demon Lord!\n\nAs if finding the future Lord of the Underworld isn\'t enough, Oga is also confronted by Hildegard, Beel\'s demon maid. Together they attempt to raise Baby Beel\xe2\x80\x94although surrounded by juvenile delinquents and demonic powers, the two of them may be in for more of a challenge than they can imagine.\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Beelzebub', b'Beelzebub: Hirotta Akachan wa Daimaou!?', b'Beelzebub Specials']
animeCharacters	[b'Oga, Tatsumi', b'Beelzebub IV, Kaiser de Emperana', b'Hildegard', b'Furuichi, Takayuki', b'Kunieda, Aoi', b'Toujou, Hidetora', b'Hanazawa, Yuka', b'Kanzaki, Hajime', b'Himekawa, Tatsuya', b'Bathin de Emuna, Alaindelon']
animeVoices	[b'\nKonishi, Katsuyuki\nJapanese\n', b'\nSawashiro, Miyuki\nJapanese\n', b'\nItou, Shizuka\nJapanese\n', b'\nMizushima, Takahiro\nJapanese\n', b'\nToyosaki, Aki\nJapanese\n', b'\nSeki, Tomokazu\nJapanese\n', b'\nTomatsu, Haruka\nJapanese\n', b'\nSugita, Tomokazu\nJapanese\n', b'\nOgino, Seirou\nJapanese\n', b'\nTakagi, Wataru\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nTakamoto, Norihiro\n\nDirector\n\n', b'\nTakahashi, Tsuyoshi\n\nSound Director\n\n', b'\nIshihama, Masashi\n\nEpisode Director, Storyboard, Key Animation, Animation Director, Background Art\n\n', b'\nWatanabe, Odahiro\n\nEpisode Director, Storyboard, Key Animation, Assistant Animation Director\n\n']
