animeTitle	Fireball Charming
animeType	TV
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.78
animeUsers	4096
animeRank	
animePopularity	5905
animeDescription	"A 3D computer animation about a female robot duchess named Drossel von Flügel and her guardian servant robot Gedächtnis.

(Source: ANN) "
animeRelated	['Fireball']
animeCharacters	['von Flügel, Drossel', 'Gedächtnis']
animeVoices	['Kawasho, Miyuki', 'Ookawa, Tooru']
animeStaff	[['Arakawa, Wataru', 'Director'], ['Yanase, Takayuki', 'Mechanical Design']]
