animeTitle	Yuru Yuri Nachuyachumi!+
animeType	Special
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.78
animeUsers	25341
animeRank	
animePopularity	2542
animeDescription	Extra episodes of Yuru Yuri Nachuyachumi!
animeRelated	['Yuru Yuri', 'Yuru Yuri Nachuyachumi!', 'Yuru Yuri San☆Hai!']
animeCharacters	['Toshinou, Kyouko', 'Akaza, Akari', 'Funami, Yui', 'Yoshikawa, Chinatsu', 'Sugiura, Ayano', 'Oomuro, Sakurako', 'Ikeda, Chitose', 'Furutani, Himawari', 'Matsumoto, Rise', 'Akaza, Akane']
animeVoices	['Ootsubo, Yuka', 'Mikami, Shiori', 'Tsuda, Minami', 'Ookubo, Rumi', 'Fujita, Saki', 'Katou, Emiri', 'Toyosaki, Aki', 'Mimori, Suzuko', 'Gotou, Saori', 'Horie, Yui']
animeStaff	[['Hata, Hiroyuki', 'Director, Script, Storyboard, Series Composition'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Hiramaki, Daisuke', 'Episode Director, Storyboard, Assistant Director, Key Animation'], ['Ookubo, Rumi', 'Theme Song Performance']]
