animeTitle	Kuwagata Tsumami
animeType	ONA
animeNumEpisode	84
releaseDate	2005-07-10 00:00:00
endDate	2010-11-01 00:00:00
animeNumMembers	202
animeScore	
animeUsers	
animeRank	16967
animePopularity	16000
animeDescription	Tsumami is the half-human, half stag beetle daughter of a female fashion model and a big male stag beetle. She has jaws on top of her head and loves to eat watermelons. She is a troublemaker, causing problems to other people!
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
