animeTitle	b'Trinity Seven Movie 2: Heavens Library to Crimson Lord'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.35
animeUsers	37309
animeRank	
animePopularity	
animeDescription	"b""Heavens Library to Crimson Lord brings back Arata, Lilith, and the rest of the Trinity Seven to face off against the greatest enemy in the history of the Trinity Seven; Lilith's own father, who is revealed to be the strongest Demon Lord, challenges Arata who is now a Demon Lord candidate.\n\n(Source: Avex Pictures, edited)"""
animeRelated	[b'Trinity Seven: 7-nin no Mashotsukai', b'Trinity Seven Movie 1: Eternity Library to Alchemic Girl']
animeCharacters	[b'Kasuga, Arata', b'Kazama, Levi', b'Asami, Lilith', b'Sherlock, Lieselotte', b'Kurata, Yui', b'Kannazuki, Arin', b'Yamana, Mira', b'Fudou, Akio', b'Sora', b'Biblia Gakuenchou']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nZAQ\n\nTheme Song Performance\n\n', b'\nTechnoboys Pulcraft Green-Fund\n\nMusic\n\n', b'\nNao, Akinari\n\nOriginal Character Design\n\n', b'\nSaitou, Kenji\n\nOriginal Creator\n\n']
