animeTitle	Megumi
animeType	ONA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.02
animeUsers	643
animeRank	
animePopularity	9572
animeDescription	"An anime biography on Megumi Yokota, who was abducted by North Korea in 1977 when she was 13 years old. North Korea acknowledges abducting her and at least 12 other Japanese residents during the 1970s and the 1980s, but the country has not provided any conclusive evidence on her fate and most of the others.

(Source: ANN) "
animeRelated	['Megumi']
animeCharacters	['Yokota, Megumi', 'Yokota, Shigeru', 'Yokota, Sakie']
animeVoices	['Takayama, Minami', 'Yamadera, Kouichi', 'Fukami, Rica']
animeStaff	[['Oomori, Hidetoshi', 'Director'], ['Mitsui, Hideki', 'Script'], ['Satou, Hiromu', 'Art Director'], ['Wada, Toshiya', 'Sound Effects']]
